Unit,Year,Employed FT N,Employed FT %,Employed PT N,Employed PT %,Continuing Edu N,Continuing Edu %,Volunteering N,Volunteering %,Military N,Military %,Business N,Business %,Unplaced N,Unplaced %,Unresolved N,Unresolved %,Total N,Not Seeking N,Placement Rate %
College of Agriculture and Natural Resources,2018,92,52%,9,5%,53,30%,7,4%,1,1%,4,2%,0,0%,11,6%,177,2,94.0%
College of Arts and Humanities,2018,513,70%,49,7%,122,17%,14,2%,6,1%,6,1%,6,1%,18,2%,734,6,97.0%
College of Behavioral and Social Sciences,2018,713,60%,56,5%,282,24%,24,2%,13,1%,6,1%,18,2%,67,6%,1179,5,92.0%
"College of Computer, Mathematical, and Natural Sciences",2018,534,61%,27,3%,241,28%,6,1%,5,1%,5,1%,7,1%,44,5%,869,4,94.0%
College of Education,2018,110,85%,1,1%,14,11%,2,2%,0,0%,0,0%,2,2%,1,1%,130,0,97.0%
College of Information,2018,38,90%,0,0%,2,5%,0,0%,0,0%,0,0%,1,2%,1,2%,42,1,96.0%
The A. James Clark School of Engineering,2018,771,79%,5,1%,131,29%,3,0%,22,2%,2,0%,14,1%,22,2%,970,2,97.0%
Philip Merrill College of Journalism,2018,91,68%,14,11%,11,8%,0,0%,0,0%,0,0%,0,0%,16,12%,133,0,88.0%
"School of Architecture, Planning, and Preservation",2018,25,60%,4,10%,7,17%,0,0%,0,0%,0,0%,3,7%,3,7%,42,0,86.0%
School of Public Health,2018,233,46%,36,7%,146,29%,6,1%,2,0%,2,0%,7,1%,73,14%,505,2,85.0%
School of Public Policy,2018,6,67%,0,0%,1,11%,0,0%,0,0%,0,0%,2,22%,0,0%,9,0,78.0%
The Robert H. Smith School of Business,2018,673,82%,22,3%,74,9%,0,0%,0,0%,0,0%,10,1%,33,4%,812,5,95.0%
College Park Scholars,2018,393,64%,32,5%,140,22%,7,1%,4,1%,3,0%,5,1%,46,7%,630,6,92.0%
Honors College,2018,477,64%,15,2%,200,27%,13,2%,9,1%,1,0%,6,1%,18,2%,739,1,97.0%
Letters and Sciences,2018,1179,68%,69,4%,291,17%,17,1%,13,1%,6,0%,23,1%,130,7%,1728,11,92.0%
Undergraduate Studies,2018,,,,,,,,,,,,,,,,,,,
University-wide,2019,4224,72%,172,3%,1029,17%,66,1%,42,1%,42,1%,18,0.3%,292,5%,5885,52,94.7%
College of Agriculture and Natural Resources,2019,148,56%,16,6%,79,30%,4,2%,1,0%,3,1%,2,1%,12,5%,265,1,94.0%
College of Arts and Humanities,2019,510,74%,30,4%,100,15%,14,2%,7,1%,8,1%,2,0%,18,3%,689,10,97.0%
College of Behavioral and Social Sciences,2019,784,64%,46,4%,287,23%,24,2%,13,1%,7,1%,5,0%,63,5%,1229,7,95.0%
"College of Computer, Mathematical, and Natural Sciences",2019,739,67%,25,2%,255,23%,15,1%,5,0%,4,0%,4,0%,63,6%,1110,5,94.0%
College of Education,2019,89,79%,1,1%,11,10%,2,2%,0,0%,0,0%,0,0%,9,8%,112,0,92.0%
College of Information,2019,149,86%,2,1%,11,6%,0,0%,0,0%,2,1%,1,1%,8,5%,173,1,94.0%
The A. James Clark School of Engineering,2019,790,84%,4,0%,122,13%,2,0%,6,1%,3,0%,1,0%,13,1%,941,9,99.0%
Philip Merrill College of Journalism,2019,86,73%,11,9%,9,8%,0,0%,1,1%,0,0%,0,0%,11,9%,118,1,91.0%
"School of Architecture, Planning, and Preservation",2019,44,68%,2,3%,12,18%,0,0%,0,0%,0,0%,0,0%,7,11%,65,0,89.0%
School of Public Health,2019,347,61%,34,6%,133,23%,11,2%,3,1%,1,0%,2,0%,41,7%,572,2,93.0%
School of Public Policy,2019,14,78%,0,0%,1,6%,1,6%,0,0%,0,0%,0,0%,2,11%,18,1,89.0%
The Robert H. Smith School of Business,2019,756,81%,11,1%,90,10%,0,0%,7,1%,12,1%,3,0%,56,6%,935,16,94.0%
College Park Scholars,2019,419,67%,24,4%,129,21%,11,2%,4,1%,2,0%,1,0%,37,6%,627,4,94.0%
Honors College,2019,481,66%,17,2%,184,25%,13,2%,5,1%,2,0%,4,1%,20,3%,726,1,96.0%
Letters and Sciences,2019,1316,73%,58,3%,277,15%,22,1%,10,1%,16,1%,3,0%,105,6%,1807,24,94.0%
Undergraduate Studies,2019,10,71%,0,0%,1,7%,0,0%,0,0%,2,14%,0,0%,1,14%,14,0,86.0%
University-wide,2020,3990,68%,186,3%,1013,17%,47,1%,32,1%,62,1%,68,1%,455,8%,5853,43,91.0%
College of Agriculture and Natural Resources,2020,117,53%,15,7%,54,25%,5,2%,0,0%,2,1%,1,0%,26,12%,220,1,88.0%
College of Arts and Humanities,2020,471,68%,39,6%,99,14%,9,1%,7,1%,13,2%,11,2%,41,6%,690,15,92.0%
College of Behavioral and Social Sciences,2020,764,61%,58,5%,256,20%,13,1%,11,1%,17,1%,22,2%,109,9%,1250,5,89.0%
"College of Computer, Mathematical, and Natural Sciences",2020,761,68%,26,2%,222,20%,12,1%,1,0%,11,1%,7,1%,78,7%,1118,6,92.0%
College of Education,2020,94,85%,0,0%,12,11%,3,3%,0,0%,1,1%,0,0%,1,1%,111,0,99.0%
